id,name,sku,category,quantity,reservedQuantity,lowStockThreshold,unit,price,status,vendorId,latitude,longitude,isActive,condition,source,certifications,used_in,specs,images,warehouse,rack,shelf,location,gpsStatus,locationUpdatedAt,deliveryDestination,deliveryEta,deliveryDispatchedAt,deliveryCompletedAt,createdAt,updatedAt
"1","TMT Steel Bars (12mm)","TMT-001","Construction Steel","500","0","100","kg","62","In Stock","1","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 1","Warehouse A / Shelf 1","At Warehouse","","","","","","2026-07-29 08:48:30.891 +00:00","2026-07-29 09:36:52.181 +00:00"
"2","MS Angle (50x50x6)","MSA-002","Structural Steel","12","0","20","pcs","850","Low Stock","2","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 2","Warehouse A / Shelf 2","At Warehouse","","","","","","2026-07-29 08:48:30.921 +00:00","2026-07-29 09:36:52.217 +00:00"
"3","Copper Wire (2.5 sqmm)","CW-003","Electrical","2000","0","500","m","18","In Stock","3","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 3","Warehouse A / Shelf 3","At Warehouse","","","","","","2026-07-29 08:48:30.934 +00:00","2026-07-29 09:36:52.252 +00:00"
"4","GI Pipes (1 inch)","GIP-004","Plumbing","150","0","30","pcs","420","In Stock","4","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 4","Warehouse A / Shelf 4","At Warehouse","","","","","","2026-07-29 08:48:30.961 +00:00","2026-07-29 09:36:52.273 +00:00"
"5","Aluminum Sheet (1mm)","ALS-005","Sheet Metal","5","0","10","pcs","1800","Low Stock","5","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 5","Warehouse A / Shelf 5","At Warehouse","","","","","","2026-07-29 08:48:30.985 +00:00","2026-07-29 09:36:52.300 +00:00"
"6","PVC Conduit Pipe (25mm)","PVC-006","Electrical","300","0","50","pcs","45","In Stock","6","","","1","New","","[]","[]","{}","[]","Warehouse B","","Shelf 1","Warehouse B / Shelf 1","At Warehouse","","","","","","2026-07-29 08:48:31.002 +00:00","2026-07-29 09:36:52.322 +00:00"
"7","Welding Rod (E6013)","WR-007","Consumables","0","0","50","pcs","5","Out of Stock","1","","","1","New","","[]","[]","{}","[]","Warehouse B","","Shelf 2","Warehouse B / Shelf 2","At Warehouse","","","","","","2026-07-29 08:48:31.034 +00:00","2026-07-29 09:36:52.339 +00:00"
"8","Cement (OPC 53 Grade)","CEM-008","Construction","200","0","50","bags","380","In Stock","2","","","1","New","","[]","[]","{}","[]","Warehouse B","","Shelf 3","Warehouse B / Shelf 3","At Warehouse","","","","","","2026-07-29 08:48:31.067 +00:00","2026-07-29 09:36:52.354 +00:00"
"9","Sand (River Sand)","SND-009","Construction","40","0","20","cubic ft","65","In Stock","3","","","1","New","","[]","[]","{}","[]","Warehouse B","","Shelf 4","Warehouse B / Shelf 4","At Warehouse","","","","","","2026-07-29 08:48:31.092 +00:00","2026-07-29 09:36:52.376 +00:00"
"10","Brass Fittings (0.5 inch)","BRF-010","Plumbing","7","0","15","pcs","120","Low Stock","4","","","1","New","","[]","[]","{}","[]","Warehouse B","","Shelf 5","Warehouse B / Shelf 5","At Warehouse","","","","","","2026-07-29 08:48:31.113 +00:00","2026-07-29 09:36:52.396 +00:00"
"11","SS Sheet (304 Grade)","SS-011","Sheet Metal","25","0","5","pcs","3500","In Stock","5","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 1","Warehouse A / Shelf 1","At Warehouse","","","","","","2026-07-29 08:48:31.143 +00:00","2026-07-29 09:36:52.410 +00:00"
"12","MCB Switch (32A)","MCB-012","Electrical","80","0","20","pcs","250","In Stock","6","","","1","New","","[]","[]","{}","[]","Warehouse A","","Shelf 2","Warehouse A / Shelf 2","At Warehouse","","","","","","2026-07-29 08:48:31.161 +00:00","2026-07-29 09:36:52.426 +00:00"
